Winery,State,Wine Name,Vintage,Type,Quantity,Bin Location,Image,Website,Website
Cresson Bluff,Texas,Tempranillo,2019,Red,1,Shelf A1,images/cresson-bluff-tempranillo.jpg,,
Cresson Bluff,Texas,Noble,N/A,Red,1,Shelf A4,images/cresson-bluff-noble.jpg,,
Cresson Bluff,Texas,Rendevous Red,2021,Red,1,Shelf A5,images/cresson-bluff-rendevous-red.jpg,,
Lost Oak Winery,Texas,Red Blend,2023,Red,2,Shelf A4,,,
Alexandria Nicole,Washington,Savignon Blanc,2023,White,1,Fridge B3,images/anc-sauv.jpg,,
Alexandria Nicole,Washington,Rock Star Red,2022,Red,2,Shelf E7-8,images/rock-star-red.jpg,www.alexandrianicolecellars.com/,
Baron's Creek,Texas,Boots,2023,Red,1,Shelf C,,,
Alexandria Nicole,Washington,A2 Cab,2023,Red,11,shelf  g,images/a2-cab.jpg,www.alexandrianicolecellars.com,
Josh Cellars,California,Cabernet Sauvignon,2023,Red,10,Wine Rack A and B,images/josh-cab.jpg,www.joshcellars.com,
